grid_id|epsg|zoom|x|y|data|geom
eu-grid|3035|3|35|60|"{""poblacion"": {""penc"": 0, ""penc_h"": 0, ""penc_m"": 0, ""pencinc"": 0, ""pencjub"": 0, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 0.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B00000100000005000000000000003CEF45410000000040773B41000000003CEF454100000000C88A3B410000000000F9454100000000C88A3B410000000000F945410000000040773B41000000003CEF45410000000040773B41
eu-grid|3035|3|42|50|"{""poblacion"": {""penc"": 42, ""otros"": 0, ""total"": 238, ""magreb"": 0, ""penc_h"": 16, ""penc_m"": 17, ""afil_ss"": 86, ""america"": 0, ""edad65_"": 32, ""hombres"": 119, ""mujeres"": 119, ""pencinc"": 12, ""pencjub"": 14, ""pencjyv"": 5, ""edad0015"": 46, ""edad1664"": 160, ""afil_ss_a"": 61, ""afil_ss_h"": 50, ""afil_ss_m"": 36, ""afil_ss_p"": 10, ""espanyoles"": 235, ""pencinc_mi"": 712.5100000000, ""pencjub_mi"": 601.9000000000, ""pencjyv_mi"": 634.5000000000}}"|0103000020DB0B00000100000005000000000000009833464100000000F0B33A4100000000983346410000000078C73A41000000005C3D46410000000078C73A41000000005C3D464100000000F0B33A41000000009833464100000000F0B33A41
eu-grid|3035|3|45|52|"{""poblacion"": {""penc"": 12, ""otros"": 52, ""total"": 241, ""afil_ss"": 102, ""america"": 0, ""edad65_"": 6, ""hombres"": 132, ""mujeres"": 109, ""pencinc"": 5, ""pencjub"": 6, ""pencjyv"": 0, ""edad0015"": 58, ""edad1664"": 177, ""afil_ss_a"": 92, ""afil_ss_h"": 60, ""afil_ss_m"": 42, ""afil_ss_p"": 10, ""espanyoles"": 188, ""pencinc_mi"": 740.8400000000, ""pencjub_mi"": 940.4600000000, ""pencjyv_mi"": 0.0000000000}}"|0103000020DB0B0000010000000500000000000000E45046410000000000DB3A4100000000E45046410000000088EE3A4100000000A85A46410000000088EE3A4100000000A85A46410000000000DB3A4100000000E45046410000000000DB3A41
eu-grid|3035|3|44|57|"{""poblacion"": {""penc"": 0, ""penc_h"": 0, ""penc_m"": 0, ""pencinc"": 0, ""pencjub"": 0, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 0.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B00000100000005000000000000002047464100000000A83C3B4100000000204746410000000030503B4100000000E45046410000000030503B4100000000E450464100000000A83C3B41000000002047464100000000A83C3B41
eu-grid|3035|3|45|60|"{""poblacion"": {""penc"": 0, ""penc_h"": 0, ""penc_m"": 0, ""pencinc"": 0, ""pencjub"": 0, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 0.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B0000010000000500000000000000E45046410000000040773B4100000000E450464100000000C88A3B4100000000A85A464100000000C88A3B4100000000A85A46410000000040773B4100000000E45046410000000040773B41
eu-grid|3035|3|51|51|"{""poblacion"": {""penc"": 17, ""ue15"": 0, ""otros"": 29, ""total"": 160, ""magreb"": 0, ""penc_h"": 8, ""penc_m"": 9, ""afil_ss"": 63, ""america"": 0, ""edad65_"": 9, ""hombres"": 90, ""mujeres"": 70, ""pencinc"": 5, ""pencjub"": 5, ""edad0015"": 29, ""edad1664"": 118, ""afil_ss_a"": 7, ""afil_ss_h"": 33, ""afil_ss_m"": 23, ""afil_ss_p"": 0, ""espanyoles"": 131, ""pencinc_mi"": 593.5000000000, ""pencjub_mi"": 634.5000000000}}"|0103000020DB0B00000100000005000000000000007C8B46410000000078C73A41000000007C8B46410000000000DB3A4100000000409546410000000000DB3A4100000000409546410000000078C73A41000000007C8B46410000000078C73A41
eu-grid|3035|3|49|52|"{""poblacion"": {""penc"": 5, ""ue15"": 0, ""otros"": 9, ""total"": 37, ""magreb"": 0, ""afil_ss"": 10, ""america"": 0, ""hombres"": 17, ""mujeres"": 20, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""edad1664"": 25, ""afil_ss_a"": 10, ""afil_ss_h"": 0, ""afil_ss_m"": 0, ""afil_ss_p"": 0, ""espanyoles"": 28, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B0000010000000500000000000000F47746410000000000DB3A4100000000F47746410000000088EE3A4100000000B88146410000000088EE3A4100000000B88146410000000000DB3A4100000000F47746410000000000DB3A41
eu-grid|3035|3|56|62|"{""poblacion"": {""penc"": 45, ""ue15"": 0, ""otros"": 0, ""total"": 181, ""magreb"": 0, ""penc_h"": 18, ""penc_m"": 15, ""afil_ss"": 43, ""america"": 0, ""edad65_"": 62, ""hombres"": 102, ""mujeres"": 79, ""pencinc"": 0, ""pencjub"": 26, ""pencjyv"": 5, ""pencviu"": 7, ""edad0015"": 14, ""edad1664"": 90, ""afil_ss_a"": 23, ""afil_ss_h"": 19, ""afil_ss_m"": 10, ""afil_ss_p"": 6, ""espanyoles"": 178, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 1565.8000000000, ""pencjyv_mi"": 802.0800000000, ""pencviu_mi"": 634.5000000000}}"|0103000020DB0B000001000000050000000000000050BC464100000000509E3B410000000050BC464100000000D8B13B410000000014C6464100000000D8B13B410000000014C6464100000000509E3B410000000050BC464100000000509E3B41
eu-grid|3035|3|55|57|"{""poblacion"": {""penc"": 0, ""penc_h"": 0, ""penc_m"": 0, ""pencinc"": 0, ""pencjub"": 0, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 0.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B00000100000005000000000000008CB2464100000000A83C3B41000000008CB246410000000030503B410000000050BC46410000000030503B410000000050BC464100000000A83C3B41000000008CB2464100000000A83C3B41
eu-grid|3035|3|59|54|"{""poblacion"": {""penc"": 0, ""penc_h"": 0, ""penc_m"": 0, ""pencinc"": 0, ""pencjub"": 0, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 0.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B00000100000005000000000000009CD946410000000010023B41000000009CD946410000000098153B410000000060E346410000000098153B410000000060E346410000000010023B41000000009CD946410000000010023B41
eu-grid|3035|3|59|68|"{""poblacion"": {""penc"": 33, ""ue15"": 0, ""otros"": 0, ""total"": 163, ""magreb"": 0, ""penc_h"": 21, ""penc_m"": 12, ""afil_ss"": 39, ""america"": 0, ""edad65_"": 36, ""hombres"": 83, ""mujeres"": 80, ""pencinc"": 9, ""pencjub"": 13, ""pencviu"": 9, ""edad0015"": 15, ""edad1664"": 109, ""afil_ss_a"": 23, ""afil_ss_h"": 18, ""afil_ss_m"": 15, ""afil_ss_p"": 10, ""espanyoles"": 162, ""pencinc_mi"": 508.1000000000, ""pencjub_mi"": 782.9000000000, ""pencviu_mi"": 634.5000000000}}"|0103000020DB0B00000100000005000000000000009CD946410000000080133C41000000009CD946410000000008273C410000000060E346410000000008273C410000000060E346410000000080133C41000000009CD946410000000080133C41
eu-grid|3035|3|31|58|"{""poblacion"": {""penc"": 6, ""ue15"": 0, ""otros"": 0, ""total"": 25, ""magreb"": 0, ""afil_ss"": 6, ""america"": 0, ""hombres"": 12, ""mujeres"": 13, ""pencjyv"": 0, ""pencotr"": 0, ""edad1664"": 18, ""afil_ss_a"": 6, ""afil_ss_p"": 0, ""espanyoles"": 25, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000}}"|0103000020DB0B00000100000005000000000000002CC845410000000030503B41000000002CC8454100000000B8633B4100000000F0D1454100000000B8633B4100000000F0D145410000000030503B41000000002CC845410000000030503B41
